ampl wV fracEsq wz_sq w_min w_plus
0.400000 2.260000 0.980000 0.000147 0.000031 2.407774
0.400000 2.280000 0.980000 0.000076 0.000016 2.407789
0.400000 2.300000 0.980000 0.000168 0.000035 2.407770
0.400000 2.320000 0.970000 0.000085 0.000018 2.407787
0.400000 2.340000 0.970000 0.000132 0.000027 2.407777
0.400000 2.360000 0.960000 0.000136 0.000028 2.407777
0.400000 2.380000 0.820000 0.000082 0.000017 2.407788
0.400000 2.400000 0.930000 0.000168 0.000035 2.407770
0.400000 2.420000 0.970000 0.000078 0.000016 2.407789
0.400000 2.440000 0.970000 0.000144 0.000030 2.407775
0.400000 2.460000 0.980000 0.000124 0.000026 2.407779
0.400000 2.480000 0.980000 0.000092 0.000019 2.407786
0.700000 0.200000 0.420000 0.000193 0.000040 2.407765
0.700000 0.220000 0.220000 0.000036 0.000008 2.407797
0.700000 0.240000 0.920000 0.000189 0.000039 2.407766
0.700000 0.260000 0.930000 0.000089 0.000019 2.407786
0.700000 0.280000 0.930000 0.000104 0.000022 2.407783
0.700000 0.300000 0.920000 0.000179 0.000037 2.407768
0.700000 0.320000 0.870000 0.000038 0.000008 2.407797
0.700000 0.340000 0.870000 0.000199 0.000041 2.407763
0.700000 0.360000 0.500000 0.000070 0.000015 2.407790
0.700000 0.380000 0.010000 0.000126 0.000026 2.407779
0.700000 0.400000 0.000000 0.000161 0.000034 2.407771
0.700000 0.420000 0.000000 0.000046 0.000010 2.407795
0.700000 0.440000 0.000000 0.000204 0.000042 2.407762
0.700000 0.460000 0.000000 0.000054 0.000011 2.407794
0.700000 0.480000 0.000000 0.000148 0.000031 2.407774
0.700000 0.500000 0.040000 0.000141 0.000029 2.407776
0.700000 0.520000 1.000000 0.000059 0.000012 2.407793
0.700000 0.540000 1.000000 0.000203 0.000042 2.407763
0.700000 0.560000 1.000000 0.000043 0.000009 2.407796
0.700000 0.580000 1.000000 0.000168 0.000035 2.407770
0.700000 0.600000 1.000000 0.000119 0.000025 2.407780
0.700000 0.620000 1.000000 0.000076 0.000016 2.407789
0.700000 0.640000 1.000000 0.000197 0.000041 2.407764
0.700000 0.660000 1.000000 0.000037 0.000008 2.407797
0.700000 0.680000 1.000000 0.000184 0.000038 2.407766
0.700000 0.700000 1.000000 0.000096 0.000020 2.407785
0.700000 0.720000 1.000000 0.000096 0.000020 2.407785
0.700000 0.740000 1.000000 0.000184 0.000038 2.407766
0.700000 0.760000 1.000000 0.000037 0.000008 2.407797
0.700000 0.780000 1.000000 0.000197 0.000041 2.407764
0.700000 0.800000 1.000000 0.000076 0.000016 2.407789
0.700000 0.820000 1.000000 0.000119 0.000025 2.407780
0.700000 0.840000 1.000000 0.000168 0.000035 2.407770
0.700000 0.860000 1.000000 0.000043 0.000009 2.407796
0.700000 0.880000 1.000000 0.000203 0.000042 2.407763
0.700000 0.900000 1.000000 0.000059 0.000012 2.407793
0.700000 0.920000 1.000000 0.000141 0.000029 2.407776
0.700000 0.940000 1.000000 0.000148 0.000031 2.407774
