L = 100 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6371517722842031e+00,6.8443467621096843e-01,3.0135963535225714e+00,1.8039199691270494e+02,2.1384395116215201e-03,2.1601607254518238e-02,9.7209485231466691e-02,1.3324075247431598e+01
2.1157894736842104e+00,-1.6231945059806052e+00,6.9199479703761457e-01,3.1720992018088507e+00,2.0480793908265107e+02,1.8369968758084932e-03,1.8031463973024960e-02,8.7877373081587176e-02,1.5586015706010091e+01
2.1315789473684212e+00,-1.6043173644327229e+00,6.6547277483208367e-01,3.0776247082473391e+00,2.0245306886069682e+02,1.9980927779211740e-03,1.9363840858938587e-02,8.8250707902025091e-02,1.5745780700586337e+01
2.1473684210526316e+00,-1.5854820504004876e+00,6.4607952237751365e-01,3.4004998685441854e+00,2.2746194002351803e+02,1.8006115694821968e-03,1.7637481795027266e-02,7.9741538069092857e-02,1.3884761465868001e+01
2.1631578947368419e+00,-1.5714708070929715e+00,6.7999844356670902e-01,3.0876563402521788e+00,1.9381454457474385e+02,1.4810583091167927e-03,1.3483861868144448e-02,7.0064425681616430e-02,1.3677476690381345e+01
2.1789473684210527e+00,-1.5498710924111470e+00,6.2407448547103095e-01,3.2056360740191021e+00,2.0351914372232585e+02,1.8836402069838786e-03,1.8221655655344438e-02,7.9431443407959504e-02,1.4965430003411393e+01
2.1947368421052631e+00,-1.5303818550539003e+00,6.3826808166497007e-01,3.1085322613935831e+00,2.0250733861497466e+02,1.4495044961131515e-03,1.2739709261525988e-02,5.7532430622527955e-02,1.2751469861237782e+01
2.2105263157894739e+00,-1.5105448015781098e+00,6.3674420293072520e-01,3.0357144904725146e+00,1.9652429868291298e+02,1.1826507211246623e-03,1.0205758894066733e-02,6.5697848087090532e-02,1.2990832914758098e+01
2.2263157894736842e+00,-1.4899044432821824e+00,6.1194261787393966e-01,3.0635354793627094e+00,1.8832332391341569e+02,1.4313678090377548e-03,1.2178473121053475e-02,6.4617160977059412e-02,1.1431948868528325e+01
2.2421052631578946e+00,-1.4587780951667093e+00,5.6153437934731332e-01,3.0148574791558906e+00,1.8915599724539098e+02,1.3036294822233252e-03,1.1333380091193546e-02,4.7999630819358076e-02,9.7092656640329018e+00
2.2578947368421054e+00,-1.4347040668023028e+00,5.4736358235155502e-01,2.8618147212317528e+00,1.5069613105492564e+02,1.1563919993411108e-03,9.8072789428370263e-03,4.5023317655219317e-02,7.2823364617003277e+00
2.2736842105263158e+00,-1.4000437207383050e+00,4.6211230854080776e-01,2.4798733935312369e+00,1.4124963884866199e+02,1.1422352693318378e-03,1.0411097389619798e-02,3.8694307724709935e-02,6.9778956897252353e+00
2.2894736842105261e+00,-1.3638305613144643e+00,3.5065883343278803e-01,2.1586047149258270e+00,1.1658185976449671e+02,1.0501801338217019e-03,1.0286533578874850e-02,3.8578749113188322e-02,4.6051037915500341e+00
2.3052631578947369e+00,-1.3314981348282828e+00,2.6041957304688890e-01,1.7862627994438889e+00,1.0100445425852460e+02,6.3708205386670360e-04,6.5122036821464819e-03,2.7368793901036508e-02,3.2450990106213000e+00
2.3210526315789473e+00,-1.3048775845523237e+00,2.0466461063959596e-01,1.5745668619262876e+00,7.0481689562922170e+01,4.2754123526427381e-04,5.1062588959823463e-03,1.9039983919406450e-02,2.5082055391713127e+00
2.3368421052631581e+00,-1.2815950348539393e+00,1.7020282766991923e-01,1.4356168314029913e+00,5.6052228992910123e+01,3.5707612935857578e-04,3.7690290596866316e-03,1.2303427507222468e-02,1.7154277061032484e+00
2.3526315789473684e+00,-1.2607351513649696e+00,1.4941606527654547e-01,1.3634210803712825e+00,4.5054299594895276e+01,2.6528369795773756e-04,2.7777413648082784e-03,9.7606707578729961e-03,1.4033170450969545e+00
2.3684210526315788e+00,-1.2395195266368486e+00,1.2383477575408083e-01,1.2507913375450632e+00,3.3999230497766497e+01,1.6815299084132552e-04,1.7993577673221575e-03,7.3570148660437621e-03,9.2751522227659822e-01
2.3842105263157896e+00,-1.2204518627789094e+00,1.0864658352151516e-01,1.1791185119018621e+00,2.5472835822638416e+01,1.7664618207317376e-04,1.7208487699733725e-03,6.3521741003332091e-03,7.4844079391189189e-01
2.3999999999999999e+00,-1.2021085974199595e+00,9.8070698512969692e-02,1.1182308852605005e+00,2.1305050698160503e+01,1.2909940506739166e-04,1.2480214492902638e-03,5.4533141985440214e-03,5.3269799972024579e-01
