L = 50 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6660039844977781e+00,8.6758840259555536e-01,9.9252700668871963e-01,3.2576020568234214e+00,3.3193513828404936e-04,1.4576747819664121e-03,2.0105573038997675e-02,9.8261079058319556e-01
2.1137931034482760e+00,-1.6488030486044429e+00,8.5439472369777858e-01,1.1150794783562445e+00,5.9228495842110194e+00,5.6711312881188212e-04,2.7269505172514532e-03,3.1637422056648191e-02,1.6846690070180468e+00
2.1275862068965519e+00,-1.6357775622399999e+00,8.4950995903999993e-01,1.0933194064702352e+00,4.8630482464235367e+00,4.4633442504936452e-04,2.0147519951585298e-03,2.7888266980135544e-02,1.3333480421025692e+00
2.1413793103448278e+00,-1.6191119021511113e+00,8.4177412497777748e-01,1.1311828848243544e+00,3.1051247750690663e+00,2.5832175113521766e-04,1.0447238693008149e-03,1.4611195905068573e-02,6.4348682061059004e-01
2.1551724137931036e+00,-1.6073962359466676e+00,8.3076373845333407e-01,1.2154611638617125e+00,5.0281154600217954e+00,4.5275385188373241e-04,2.1459752624663308e-03,2.2986550968846876e-02,1.3304722289587982e+00
2.1689655172413795e+00,-1.5863829909333327e+00,8.0615762382222256e-01,1.4477690283683473e+00,7.9871650504384091e+00,5.1340945538761221e-04,1.9477342314138239e-03,2.1696019366365175e-02,9.7916580260028141e-01
2.1827586206896554e+00,-1.5705803958755546e+00,8.0523428718222279e-01,1.2082838448147846e+00,4.7264634260835487e+00,5.2951466767568256e-04,2.3196932750619540e-03,2.1755060562846269e-02,1.2766300452071757e+00
2.1965517241379313e+00,-1.5523670818844442e+00,7.8496903736888834e-01,1.4609827829314070e+00,6.5464325379719641e+00,4.1212145182554220e-04,1.9167605298514075e-03,1.4823105394454597e-02,1.1220816900694337e+00
2.2103448275862068e+00,-1.5395893403022227e+00,7.8219880483555582e-01,1.4023663766016818e+00,5.3288427093710622e+00,4.9915028876018326e-04,2.2286587612970273e-03,1.7748781586602810e-02,1.1068464380716292e+00
2.2241379310344827e+00,-1.5146205577244454e+00,7.4343059263999944e-01,1.4362251884110997e+00,1.1745138754272832e+01,3.4514683150098217e-04,1.6626329163600257e-03,1.9401249889285800e-02,1.0021578119098780e+00
2.2379310344827585e+00,-1.4856708177777778e+00,7.1681256711111052e-01,1.8751692266869169e+00,1.0599070028749638e+01,2.9587524309991717e-04,1.5621790329726868e-03,8.7450011844848290e-03,7.1065260860014112e-01
2.2517241379310344e+00,-1.4600743645155547e+00,6.7896845557333363e-01,2.2813506288340841e+00,1.6430949366321848e+01,6.2317438972442070e-04,2.9033399332773296e-03,1.5182749961180162e-02,1.1740566368151739e+00
