L = 40 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6604847512152774e+00,8.6622795668402797e-01,1.0763714625109906e+00,1.6425568652284652e+00,2.1824025635235116e-04,8.4946692968666717e-04,1.6542060217403298e-02,4.1686463506943572e-01
2.1137931034482760e+00,-1.6458790824652769e+00,8.5808666310763981e-01,1.2602580703991615e+00,1.1074485751888032e+00,1.6119791666691090e-06,8.5973090277791107e-06,9.9989531450639377e-05,1.1644085779189835e-03
2.1275862068965519e+00,-1.6314790675347228e+00,8.4756342152777786e-01,1.5285578822389425e+00,2.3437687785226102e+00,1.7549230314906956e-04,5.4345368849370633e-04,1.6641981810762659e-02,2.4654492535159850e-01
2.1413793103448278e+00,-1.6147578034722248e+00,8.3400331753472190e-01,1.7831305903667578e+00,3.9541677446013419e+00,2.1190457830001520e-04,7.6678844305584659e-04,1.8161329086795165e-02,3.3642675574334774e-01
2.1551724137931036e+00,-1.5992261305555553e+00,8.2015058611111125e-01,1.9415901456722702e+00,5.0251498658461919e+00,1.8575013857468745e-05,4.7322567745848942e-05,8.8034949731352673e-04,6.7066396292471435e-03
2.1689655172413795e+00,-1.5886503166666659e+00,8.2371876527777776e-01,1.5500054208983847e+00,2.2128469070653720e+00,1.1968279119955726e-04,4.2053266119169649e-04,8.6584076809848205e-03,1.7958477784315469e-01
2.1827586206896554e+00,-1.5656461668402772e+00,7.9690082309027777e-01,1.4205840771601799e+00,4.4872491901509042e+00,2.5872738499166332e-04,1.0367699496484800e-03,1.4312012369682625e-02,4.2460963063043111e-01
2.1965517241379313e+00,-1.5534878348958341e+00,7.8624472074652763e-01,1.8065010871495881e+00,5.4082731926908885e+00,6.5752630527709393e-05,2.1844876019519433e-04,3.9807925826171875e-03,7.3721850285995899e-02
2.2103448275862068e+00,-1.5389488713541670e+00,7.8434163906250032e-01,1.5626268513839616e+00,3.7814443134591635e+00,2.9527937787463449e-04,1.0056424999460233e-03,2.0790886041679647e-02,4.0592198940022345e-01
2.2241379310344827e+00,-1.5158534612847216e+00,7.4509558255208364e-01,1.9170641395845451e+00,1.4633150953015745e+01,2.1012260603915081e-04,6.4535223856314046e-04,1.4019244356564342e-02,2.1765696705183141e-01
2.2379310344827585e+00,-1.4865413838541663e+00,7.0786457473958364e-01,2.1744751961815934e+00,1.7145174332963371e+01,1.7179279683864290e-04,5.7585268137975607e-04,8.1216286896836527e-03,1.5913135199556944e-01
2.2517241379310344e+00,-1.4605792732638907e+00,6.7615682934027843e-01,1.8414965137972752e+00,2.0915737329215226e+01,2.4480685897383680e-04,8.0934904473743078e-04,1.1019642263992350e-02,1.8768119469206845e-01
2.2655172413793103e+00,-1.4101868857638891e+00,5.3830984435763929e-01,2.5354422793155056e+00,4.7671123962429029e+01,1.9905620547409135e-04,8.9976463014264515e-04,5.0214797833858568e-03,1.4180091236921263e-01
2.2793103448275862e+00,-1.4149340503472225e+00,6.3032272482638896e-01,1.9154476893462768e+00,1.7932816692338044e+01,2.4738922241749115e-04,9.8430572276992311e-04,8.6134383832668811e-03,2.7230116838664425e-01
2.2931034482758621e+00,-1.3866820428819446e+00,5.8690836605902819e-01,1.9613364436541889e+00,1.8456448906378469e+01,6.8048308391264469e-04,2.3522959758397479e-03,7.0500620285410863e-03,4.3024721611478095e-01
2.3068965517241380e+00,-1.3572615809027777e+00,5.2560613732638939e-01,1.9592574183378948e+00,2.6133642179006344e+01,7.1649708279705759e-04,3.0403405152981669e-03,8.8705867147969436e-03,5.3900902960807018e-01
2.3206896551724139e+00,-1.3135968026041673e+00,4.2064341102430541e-01,1.8236440773583047e+00,3.0260355009727192e+01,4.6524560533527874e-04,2.8562252056332392e-03,2.1084900485132542e-02,3.0209057058626915e-01
2.3344827586206898e+00,-1.2998619602430557e+00,4.1263679071180531e-01,1.6199997111935949e+00,2.6304517011158215e+01,7.8176948305972490e-04,3.6649215054805591e-03,1.5534786619719174e-02,3.6480450650944468e-01
