L = 80 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6409211999899411e+00,7.4463952654390453e-01,2.6411245809844326e+00,1.4130352196863441e+02,1.7087415958968737e-03,1.3218756976938922e-02,8.5734856409729360e-02,1.2642292962680118e+01
2.1157894736842104e+00,-1.6274163080712287e+00,7.4618232295079767e-01,2.6286196395717969e+00,1.3223062938216665e+02,1.5738628959819476e-03,1.2306632400164538e-02,8.4875813035817801e-02,1.2101559050950115e+01
2.1315789473684212e+00,-1.6104041643607900e+00,7.3466665476646453e-01,2.6810130718813583e+00,1.2240070012268734e+02,1.7166045680245125e-03,1.3000471107853781e-02,7.2729021997090804e-02,1.0120440982908267e+01
2.1473684210526316e+00,-1.5947130234990630e+00,7.2929479021992294e-01,2.6289756177526478e+00,1.1828772207214823e+02,1.5848749358287457e-03,1.2678747297809764e-02,7.2199761588325057e-02,9.4998984828770396e+00
2.1631578947368419e+00,-1.5787839566861033e+00,7.3122359702764939e-01,2.4081121716725464e+00,1.0144791600580014e+02,1.5351063015546760e-03,1.1616710124404407e-02,6.6812315311067669e-02,8.9700918564959107e+00
2.1789473684210527e+00,-1.5575287812306697e+00,7.0502288717832773e-01,2.6501649918783494e+00,1.2016460770065677e+02,1.4182996620566630e-03,1.0470608388477886e-02,6.6079194862959489e-02,9.5528866175985918e+00
2.1947368421052631e+00,-1.5398203906440449e+00,7.0026391189842596e-01,2.6149923689362571e+00,1.0875011293282229e+02,1.3798528388397045e-03,1.0312862031437799e-02,5.6996936195909273e-02,8.6700399188295680e+00
2.2105263157894739e+00,-1.5159555402878346e+00,6.7042401259607631e-01,2.6857704074499060e+00,1.1297569708529822e+02,1.4701684456578834e-03,1.0608960364533690e-02,6.1660150054491200e-02,8.6721217354767859e+00
2.2263157894736842e+00,-1.4920014310443337e+00,6.6120994047032755e-01,2.5761933409254500e+00,9.4393846452965633e+01,1.1114628577853212e-03,7.9774036624152035e-03,5.4021989154789597e-02,7.1830880611057850e+00
2.2421052631578946e+00,-1.4690999672242908e+00,6.3507301787637227e-01,2.6503409380318121e+00,9.9665904269432644e+01,1.0331086915292198e-03,7.1040688617835246e-03,4.7685111603899287e-02,6.4061528380495378e+00
2.2578947368421054e+00,-1.4376281162663771e+00,5.8399090879759608e-01,2.4198866412712174e+00,8.2108998062768435e+01,1.2704486724038357e-03,8.7751110765480790e-03,4.1751401906098516e-02,5.3423784942299752e+00
2.2736842105263158e+00,-1.3980817305797200e+00,4.6935247621828757e-01,2.6080726979286744e+00,1.2437938856359037e+02,8.7278592520254863e-04,6.9612343777786575e-03,2.4197082420945506e-02,3.5960962339311742e+00
2.2894736842105261e+00,-1.3716272809632444e+00,4.2529186145828368e-01,2.2162544574303258e+00,9.2350198919304916e+01,1.1024569294528440e-03,8.3904953443517689e-03,3.1338218292124770e-02,3.0237905919436239e+00
2.3052631578947369e+00,-1.3413375822858478e+00,3.5460996143081219e-01,1.9626266566280071e+00,8.2992850330310688e+01,1.1170070466437734e-03,8.8666151690830110e-03,2.9302615138319110e-02,2.3282370230009026e+00
2.3210526315789473e+00,-1.3097523828974318e+00,2.7710659137202109e-01,1.6780262821638348e+00,7.0960832338328132e+01,6.2724660490395844e-04,5.8777804945505090e-03,2.2527786531910919e-02,1.7607688054130601e+00
2.3368421052631581e+00,-1.2839107501263611e+00,2.1685663764599114e-01,1.4617566673553415e+00,5.3694181874046144e+01,4.6685980151096526e-04,4.2721501629945733e-03,1.4851556774920113e-02,1.5458817772572466e+00
2.3526315789473684e+00,-1.2629075193155186e+00,1.8824081040527355e-01,1.3248990484413372e+00,4.1904098781745645e+01,3.7161864055465000e-04,3.5139911696957181e-03,1.0963911408567404e-02,1.1349226581096148e+00
2.3684210526315788e+00,-1.2406551706121767e+00,1.5951172489238083e-01,1.2463260973534906e+00,3.3164745177224916e+01,2.6761222033614259e-04,2.3235221949406927e-03,8.9994776919873690e-03,8.7144571079554345e-01
2.3842105263157896e+00,-1.2216911026220216e+00,1.3969551626558560e-01,1.1773098373678290e+00,2.7060256859877292e+01,2.2526403614090456e-04,1.9481445130936927e-03,7.0103038107981030e-03,6.7566639410547169e-01
2.3999999999999999e+00,-1.2034222904658896e+00,1.2619229762813691e-01,1.1136107062576956e+00,2.1945154659431619e+01,2.0053253941632883e-04,1.6115854393660689e-03,5.6425141483237287e-03,4.7650155544160533e-01
