L = 60 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6537993896632934e+00,8.2562229999859926e-01,1.7350413835723100e+00,3.9257838409109205e+01,8.3568170292697120e-04,4.8944724618877559e-03,6.2773668785525136e-02,4.5687203460919914e+00
2.1157894736842104e+00,-1.6333950370376613e+00,7.9529910777964941e-01,2.0056322368508308e+00,5.4735967515325541e+01,1.1137900429251714e-03,6.6547254362705989e-03,7.1671747731059041e-02,5.6589138927850708e+00
2.1315789473684212e+00,-1.6181610920629128e+00,7.9363502643269201e-01,1.8488499925836690e+00,3.9323961487134738e+01,1.4611118023079529e-03,8.5469543500960588e-03,6.1242422994749260e-02,4.5693145364434002e+00
2.1473684210526316e+00,-1.6031173357585162e+00,7.9100160992314927e-01,1.8673199686251445e+00,4.0090446010778308e+01,8.7565811512800367e-04,5.0417147044786552e-03,5.8698383730477165e-02,4.3409286719950195e+00
2.1631578947368419e+00,-1.5878893180175169e+00,7.8702945613574116e-01,1.8649722106325108e+00,3.5967812896660782e+01,6.5008452709255926e-04,3.6293871246628495e-03,4.8152205687317581e-02,3.3157599552085308e+00
2.1789473684210527e+00,-1.5644550026159636e+00,7.6326229740491447e-01,1.8775141102116055e+00,3.4103734988038930e+01,7.9080922077861811e-04,4.4954144842371344e-03,4.6280169573527943e-02,3.4135070949053641e+00
2.1947368421052631e+00,-1.5397851684093999e+00,7.3922249204264945e-01,1.8759987935512301e+00,3.0523884040837405e+01,6.1927582596414828e-04,3.5261787768355477e-03,3.6677244324466840e-02,2.8140111605117455e+00
2.2105263157894739e+00,-1.5214590588053343e+00,7.1955486379427080e-01,2.1233705902791895e+00,3.9916863467378278e+01,7.4117362066317247e-04,3.9460164063566915e-03,3.5272004072161148e-02,2.8730863231154498e+00
2.2263157894736842e+00,-1.5077567797138003e+00,7.2559802584050559e-01,2.0325505629980181e+00,3.2248621413701336e+01,7.3186202358459685e-04,3.9453470583798861e-03,4.3530754601276186e-02,2.8486578798053173e+00
2.2421052631578946e+00,-1.4741931290955901e+00,6.7140905362732328e-01,2.2146067843889163e+00,3.6195741091040333e+01,7.4393849877838901e-04,3.9599944398354073e-03,2.7225633606072424e-02,2.2815334344979012e+00
2.2578947368421054e+00,-1.4467043287754100e+00,6.4364557256655930e-01,2.3241696817725512e+00,3.3738412264514288e+01,6.8875044222783445e-04,3.6661590073958626e-03,2.1875616135028975e-02,2.0853056469088087e+00
2.2736842105263158e+00,-1.4106705896184031e+00,5.6065979377338027e-01,2.4440075531401555e+00,5.6374904004079660e+01,7.6692568288245263e-04,4.8165542582481501e-03,1.9275833346535622e-02,2.0681194531288707e+00
2.2894736842105261e+00,-1.3715707286500833e+00,4.3813474504598432e-01,1.9516202026696976e+00,5.9333283327142802e+01,1.2594924720839382e-03,7.4542460566488083e-03,1.5312439949998627e-02,1.1934720263934175e+00
2.3052631578947369e+00,-1.3497448806060572e+00,4.3074833108040267e-01,2.0322007916602858e+00,5.9092154046583644e+01,7.9997172409903682e-04,4.5567064896140539e-03,2.0782576799344511e-02,1.2561511185531358e+00
2.3210526315789473e+00,-1.3129230925417750e+00,3.3156913618499817e-01,1.7384105928926312e+00,5.3084391448252134e+01,6.8710541045540168e-04,4.8201784744119573e-03,1.8381298845463502e-02,8.7726469539337659e-01
2.3368421052631581e+00,-1.2900888958454921e+00,2.9729278145778792e-01,1.6104825883468994e+00,4.7307298518568807e+01,6.0724990734037127e-04,4.2782201894045599e-03,1.6436654095614383e-02,7.8198661413901049e-01
2.3526315789473684e+00,-1.2640793577487839e+00,2.4822044023459910e-01,1.3999152703776079e+00,3.7907144887594697e+01,5.4277689334054414e-04,3.7134545569229111e-03,1.3346665108685516e-02,6.8308495190754159e-01
2.3684210526315788e+00,-1.2427529612875667e+00,2.1610395117626888e-01,1.2672587005634548e+00,3.0928329166559156e+01,4.2878352244783583e-04,3.1150610262524916e-03,9.3952726874169581e-03,5.8024484082434813e-01
2.3842105263157896e+00,-1.2235348090971441e+00,1.9048789394640855e-01,1.1927513845979396e+00,2.6225042870659571e+01,3.5478123088147732e-04,2.5887348743596429e-03,8.2057421372783886e-03,5.2326097690225359e-01
2.3999999999999999e+00,-1.2041362127319488e+00,1.6417159182550820e-01,1.1082417679853309e+00,2.0713367719260358e+01,2.8666844142591645e-04,1.9396516229828072e-03,6.2022047012261104e-03,4.6093748411863161e-01
