e_rnd,avg_e_rnd,m_rnd,avg_m_rnd,e_low,avg_e_low,m_low,avg_m_low,e_hig,avg_e_hig,m_hig,avg_m_hig
-1.6776249999999999e+00,-1.4376627551020411e+00,7.7324999999999999e-01,5.8016938775510196e-01,-1.8381000000000001e+00,-1.7655913265306127e+00,9.4958749999999992e-01,9.2217448979591832e-01,-1.7015000000000000e+00,-1.3893969387755096e+00,8.2446250000000010e-01,4.5491658163265292e-01
-1.6056250000000001e+00,-1.4410220000000005e+00,7.7301249999999999e-01,5.8402624999999997e-01,-1.7980250000000000e+00,-1.7662400000000003e+00,9.4167500000000004e-01,9.2256450000000001e-01,-1.6335749999999998e+00,-1.3942804999999994e+00,8.0516250000000000e-01,4.6192149999999993e-01
-1.6128000000000000e+00,-1.4443901960784316e+00,7.5855000000000006e-01,5.8744828431372553e-01,-1.8189250000000001e+00,-1.7672730392156866e+00,9.3645000000000000e-01,9.2283676470588238e-01,-1.6428000000000000e+00,-1.3991534313725482e+00,8.0418750000000006e-01,4.6863259803921564e-01
-1.5742500000000001e+00,-1.4468875000000003e+00,7.5275000000000003e-01,5.9062716346153854e-01,-1.7609750000000000e+00,-1.7671519230769235e+00,9.1997499999999999e-01,9.2278173076923076e-01,-1.6072000000000000e+00,-1.4031543269230762e+00,8.3444999999999991e-01,4.7566754807692302e-01
-1.6117500000000000e+00,-1.4499981132075475e+00,8.0328750000000004e-01,5.9463962264150949e-01,-1.7902750000000001e+00,-1.7675882075471701e+00,9.3821250000000012e-01,9.2307287735849053e-01,-1.7238249999999999e+00,-1.4092047169811315e+00,9.0569999999999995e-01,4.8378136792452825e-01
-1.6138749999999999e+00,-1.4530328703703705e+00,8.0805000000000005e-01,5.9859166666666674e-01,-1.7777500000000002e+00,-1.7677763888888891e+00,9.2627499999999996e-01,9.2313217592592589e-01,-1.7152500000000002e+00,-1.4148722222222216e+00,9.0193749999999995e-01,4.9152499999999993e-01
-1.5501499999999999e+00,-1.4547986363636367e+00,8.1327499999999997e-01,6.0249500000000000e-01,-1.6793750000000001e+00,-1.7661690909090910e+00,8.9408749999999992e-01,9.2260409090909079e-01,-1.6251000000000000e+00,-1.4186945454545450e+00,8.6690000000000000e-01,4.9834999999999996e-01
-1.5492750000000002e+00,-1.4564857142857144e+00,8.1343750000000004e-01,6.0626183035714287e-01,-1.6517750000000000e+00,-1.7641263392857145e+00,8.8552499999999990e-01,9.2194196428571418e-01,-1.5957249999999998e+00,-1.4218558035714282e+00,8.4707499999999991e-01,5.0457723214285710e-01
-1.5987750000000001e+00,-1.4589820175438599e+00,8.3221250000000002e-01,6.1022587719298238e-01,-1.6574750000000000e+00,-1.7622552631578949e+00,8.8338749999999999e-01,9.2126557017543853e-01,-1.6029499999999999e+00,-1.4250328947368418e+00,8.4617500000000012e-01,5.1057017543859640e-01
-1.6528749999999999e+00,-1.4623250000000001e+00,8.7938749999999999e-01,6.1486659482758621e-01,-1.6859000000000000e+00,-1.7609387931034486e+00,9.0227500000000005e-01,9.2093814655172412e-01,-1.6048000000000000e+00,-1.4281323275862066e+00,8.5321250000000004e-01,5.1647780172413793e-01
-1.7353749999999999e+00,-1.4669529661016951e+00,8.9267500000000000e-01,6.1957521186440667e-01,-1.7934749999999999e+00,-1.7614902542372883e+00,9.4428749999999995e-01,9.2133389830508472e-01,-1.7286500000000000e+00,-1.4332258474576267e+00,9.2237499999999994e-01,5.2335741525423729e-01
-1.7929249999999999e+00,-1.4723858333333335e+00,9.0808750000000005e-01,6.2438374999999990e-01,-1.8882500000000000e+00,-1.7636029166666669e+00,9.6811250000000004e-01,9.2211354166666659e-01,-1.8307249999999999e+00,-1.4398508333333331e+00,9.5010000000000006e-01,5.3046979166666663e-01
-1.8003499999999999e+00,-1.4777622950819673e+00,9.1700000000000004e-01,6.2918073770491800e-01,-1.8798750000000002e+00,-1.7655090163934428e+00,9.6653750000000005e-01,9.2284180327868848e-01,-1.8375750000000000e+00,-1.4463709016393440e+00,9.5508750000000009e-01,5.3743073770491800e-01
-1.8034749999999999e+00,-1.4830157258064518e+00,9.1297499999999998e-01,6.3375806451612904e-01,-1.8675750000000000e+00,-1.7671552419354841e+00,9.5598749999999999e-01,9.2337641129032255e-01,-1.8396000000000001e+00,-1.4527133064516127e+00,9.4392500000000001e-01,5.4398709677419343e-01
-1.7651750000000002e+00,-1.4874944444444447e+00,9.0857500000000002e-01,6.3812023809523810e-01,-1.8058250000000000e+00,-1.7677690476190480e+00,9.4058750000000002e-01,9.2364960317460310e-01,-1.7859499999999999e+00,-1.4580027777777775e+00,9.3297500000000000e-01,5.5016150793650787e-01
-1.7780500000000001e+00,-1.4920343750000000e+00,9.2733750000000004e-01,6.4263925781249998e-01,-1.8008000000000002e+00,-1.7682851562500002e+00,9.3739999999999990e-01,9.2386445312499987e-01,-1.7988749999999998e+00,-1.4633289062499997e+00,9.3508750000000007e-01,5.5617597656249995e-01
-1.7468500000000000e+00,-1.4959546153846153e+00,9.2068749999999999e-01,6.4691692307692306e-01,-1.7771749999999999e+00,-1.7684219230769231e+00,9.3378749999999999e-01,9.2401711538461528e-01,-1.7675500000000000e+00,-1.4680092307692305e+00,9.2897499999999988e-01,5.6191134615384608e-01
-1.8086750000000000e+00,-1.5006928030303028e+00,9.4247500000000006e-01,6.5139507575757571e-01,-1.8327750000000000e+00,-1.7693969696969698e+00,9.5021249999999990e-01,9.2441401515151500e-01,-1.8133250000000001e+00,-1.4732412878787877e+00,9.4427499999999998e-01,5.6770473484848483e-01
-1.8708000000000000e+00,-1.5062167910447759e+00,9.6676249999999997e-01,6.5610205223880602e-01,-1.8708000000000000e+00,-1.7709104477611941e+00,9.6676249999999997e-01,9.2504608208955219e-01,-1.8601500000000000e+00,-1.4790160447761191e+00,9.6409999999999996e-01,5.7362108208955220e-01
-1.7915000000000001e+00,-1.5104121323529409e+00,9.3968750000000001e-01,6.6027242647058826e-01,-1.7915000000000001e+00,-1.7712132352941179e+00,9.3968750000000001e-01,9.2526139705882338e-01,-1.7915000000000001e+00,-1.4836113970588234e+00,9.3968750000000001e-01,5.7900441176470585e-01
-1.7138000000000000e+00,-1.5133597826086955e+00,8.9971250000000003e-01,6.6374257246376811e-01,-1.7138000000000000e+00,-1.7703811594202903e+00,8.9971250000000003e-01,9.2489112318840572e-01,-1.7138000000000000e+00,-1.4869474637681159e+00,8.9971250000000003e-01,5.8365235507246371e-01
-1.7422249999999999e+00,-1.5166292857142856e+00,8.9543750000000000e-01,6.6705249999999994e-01,-1.7422249999999999e+00,-1.7699789285714291e+00,8.9543750000000000e-01,9.2447035714285708e-01,-1.7422249999999999e+00,-1.4905942857142858e+00,8.9543750000000000e-01,5.8810642857142847e-01
-1.7179000000000000e+00,-1.5194640845070422e+00,8.8008750000000002e-01,6.7005299295774645e-01,-1.7179000000000000e+00,-1.7692454225352117e+00,8.8008750000000002e-01,9.2384524647887323e-01,-1.7179000000000000e+00,-1.4937957746478874e+00,8.8008750000000002e-01,5.9221883802816899e-01
-1.7472250000000000e+00,-1.5226274305555554e+00,8.9739999999999998e-01,6.7321059027777774e-01,-1.7472250000000000e+00,-1.7689395833333339e+00,8.9739999999999998e-01,9.2347795138888900e-01,-1.7472250000000000e+00,-1.4973156249999999e+00,8.9739999999999998e-01,5.9645746527777765e-01
-1.7640750000000001e+00,-1.5259349315068493e+00,8.8886250000000000e-01,6.7616472602739730e-01,-1.7640750000000001e+00,-1.7688729452054799e+00,8.8886250000000000e-01,9.2300376712328780e-01,-1.7640750000000001e+00,-1.5009698630136987e+00,8.8886250000000000e-01,6.0046301369863009e-01
-1.7350749999999999e+00,-1.5287611486486485e+00,8.7540000000000007e-01,6.7885709459459453e-01,-1.7350749999999999e+00,-1.7684162162162165e+00,8.7540000000000007e-01,9.2236047297297308e-01,-1.7350749999999999e+00,-1.5041334459459459e+00,8.7540000000000007e-01,6.0417837837837829e-01
-1.7122249999999999e+00,-1.5312073333333331e+00,8.6862499999999998e-01,6.8138733333333323e-01,-1.7122249999999999e+00,-1.7676670000000001e+00,8.6862499999999998e-01,9.2164400000000002e-01,-1.7122249999999999e+00,-1.5069080000000001e+00,8.6862499999999998e-01,6.0770433333333329e-01
-1.6847000000000001e+00,-1.5332269736842103e+00,8.7366249999999990e-01,6.8391726973684208e-01,-1.6847000000000001e+00,-1.7665753289473685e+00,8.7366249999999990e-01,9.2101266447368413e-01,-1.6847000000000001e+00,-1.5092473684210528e+00,8.7366249999999990e-01,6.1120378289473687e-01
-1.7275499999999999e+00,-1.5357506493506490e+00,9.0376250000000002e-01,6.8677240259740258e-01,-1.7275499999999999e+00,-1.7660685064935067e+00,9.0376250000000002e-01,9.2078863636363628e-01,-1.7275499999999999e+00,-1.5120824675324676e+00,9.0376250000000002e-01,6.1500324675324669e-01
-1.7224250000000001e+00,-1.5381439102564098e+00,9.0336250000000007e-01,6.8954919871794873e-01,-1.7224250000000001e+00,-1.7655089743589742e+00,9.0336250000000007e-01,9.2056522435897425e-01,-1.7224250000000001e+00,-1.5147791666666668e+00,9.0336250000000007e-01,6.1870016025641028e-01
-1.7018250000000001e+00,-1.5402158227848097e+00,9.0066249999999992e-01,6.9222151898734186e-01,-1.7018250000000001e+00,-1.7647028481012659e+00,9.0066249999999992e-01,9.2031329113924043e-01,-1.7018250000000001e+00,-1.5171468354430380e+00,9.0066249999999992e-01,6.2226930379746848e-01
