L = 100 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.3068965517241380e+00,-1.3284810083155556e+00,2.5943406453777784e-01,1.8892819513628190e+00,9.2884439779977413e+01,7.6061344465222535e-04,7.7187676619552932e-03,2.7536187131929336e-02,3.2651327585025052e+00
2.3206896551724139e+00,-1.3073110024311108e+00,2.2219308655777781e-01,1.7761058985706597e+00,7.9714053981128131e+01,5.0728485551643145e-04,5.5776316827123897e-03,2.8717018638953307e-02,2.7826036269418428e+00
2.3344827586206898e+00,-1.2858720802577777e+00,1.7797489623333340e-01,1.6607751487746349e+00,6.0306019122507770e+01,4.0569553112486590e-04,4.3728095252708096e-03,2.2886506775096741e-02,1.9935018957577988e+00
2.3482758620689657e+00,-1.2673388913288888e+00,1.5794947321111111e-01,1.5496048915603302e+00,4.8714762080447919e+01,3.5308116316322570e-04,3.2286741699729662e-03,2.1206380855173266e-02,1.6278273472194489e+00
2.3620689655172415e+00,-1.2481379134133332e+00,1.3423497772444443e-01,1.4893106512123127e+00,3.8593785176582735e+01,2.9388352464459572e-04,2.4906581298944361e-03,2.0840154374284492e-02,1.3152892221495989e+00
2.3758620689655174e+00,-1.2300494857688888e+00,1.1429237326666669e-01,1.3741222485538214e+00,2.9002942299727824e+01,2.4190920753292862e-04,1.5421486353654266e-03,1.7622129258562332e-02,8.7339358712798043e-01
2.3896551724137929e+00,-1.2137388715022219e+00,1.0730228014222226e-01,1.3174519289481270e+00,2.5316722839415370e+01,2.2820682525356628e-04,1.5057963343291032e-03,1.7305166891901074e-02,6.1209508187536110e-01
2.4034482758620692e+00,-1.1980744418799998e+00,9.9090828404444414e-02,1.2518095283220074e+00,2.2189138116914293e+01,2.2120453698682685e-04,1.4053242884446014e-03,1.6910622061721232e-02,6.6641004222875322e-01
2.4172413793103447e+00,-1.1831328371822223e+00,9.0503363664444447e-02,1.2021986673938152e+00,1.8100676663234346e+01,2.0414858925129606e-04,1.0995590366797646e-03,1.3196564519073469e-02,4.5045858960409568e-01
2.4310344827586206e+00,-1.1690051171688889e+00,8.2798779826666655e-02,1.1551483397911242e+00,1.5166582147342311e+01,1.8999494227455363e-04,7.7332029511692382e-04,1.3137440576933574e-02,3.0101601677025719e-01
2.4448275862068964e+00,-1.1561176077066668e+00,7.7982820988888910e-02,1.0996793692949303e+00,1.3575519333601564e+01,1.9670379570890778e-04,8.3917199091891148e-04,1.4856327032891697e-02,2.6742566940383200e-01
2.4586206896551723e+00,-1.1427050908311112e+00,7.3773809986666661e-02,1.0581594876719005e+00,1.2078995903103564e+01,1.9626700226944206e-04,6.4881881891062834e-04,1.2979236969062686e-02,2.5130981782253442e-01
2.4724137931034482e+00,-1.1299652624711112e+00,7.0182530468888893e-02,1.0527397794624074e+00,1.1013730999623071e+01,1.8892629801119386e-04,6.9361879677958807e-04,1.1889144223522543e-02,2.1946532060233181e-01
2.4862068965517241e+00,-1.1174441545688887e+00,6.5560678528888888e-02,1.0222056416984637e+00,9.7257835298233637e+00,1.8808446233122735e-04,6.3478463316951768e-04,1.3205244871198691e-02,1.8092140489838709e-01
2.5000000000000000e+00,-1.1052594539244445e+00,6.1079003275555550e-02,9.9508519573392140e-01,8.7047301334645653e+00,1.9779895617729891e-04,5.8433223894942125e-04,1.3518345723114774e-02,1.4481714960904468e-01
