L = 60 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6588228359396433e+00,8.4672687743484198e-01,1.1293829788759207e+00,1.8819929248451878e+01,9.3871511432072564e-04,5.3545132532602504e-03,6.3145549121220987e-02,4.5377818945787052e+00
2.1137931034482760e+00,-1.6462315458504799e+00,8.3783594063785993e-01,1.4135698014911982e+00,1.9891080465381862e+01,1.0897636629423626e-03,6.0843120107931499e-03,6.0756161493484603e-02,4.3427518701573664e+00
2.1275862068965519e+00,-1.6312316445130319e+00,8.3225321760973914e-01,1.4831461310220613e+00,1.4130377832533723e+01,5.6287697376448183e-04,2.9263212477448263e-03,3.7915645146847435e-02,2.5651898726784088e+00
2.1413793103448278e+00,-1.6190996167695468e+00,8.3020203479080923e-01,1.4615069853559397e+00,1.3866903888236079e+01,6.9231162673220989e-04,3.6648852929578681e-03,4.8626239990765804e-02,3.0931653915073536e+00
2.1551724137931036e+00,-1.6011077493827162e+00,8.1370889235253796e-01,1.3098226190771620e+00,1.4928912326121953e+01,8.1158728734818193e-04,4.5130086591513539e-03,4.6625755988239058e-02,3.5723259133305483e+00
2.1689655172413795e+00,-1.5900949096021946e+00,8.0781446409465019e-01,1.4129314230941805e+00,1.6221233197562483e+01,7.3166137942749462e-04,3.9659858022161060e-03,4.4510166477733960e-02,3.2263425002110475e+00
2.1827586206896554e+00,-1.5705915607338818e+00,7.9218916939300443e-01,1.3746405823001704e+00,1.2835685645680279e+01,4.9683572836685473e-04,2.3944225726081456e-03,3.3627432500561459e-02,1.9482659751930043e+00
2.1965517241379313e+00,-1.5541998040466389e+00,7.7370284981138537e-01,1.5788709445693943e+00,1.4856030381726319e+01,5.9670526004752832e-04,3.1036910654381349e-03,3.3093485017110978e-02,2.2800984306352410e+00
2.2103448275862068e+00,-1.5345776259259258e+00,7.5267863544238711e-01,1.8676811181255415e+00,2.2681554855784178e+01,7.6938805622906033e-04,4.2064709273893306e-03,3.4060386382848459e-02,2.9839506710103012e+00
2.2241379310344827e+00,-1.5203968006172834e+00,7.5301080624142624e-01,1.5290494992035628e+00,1.3771451827899355e+01,5.7596276219394897e-04,2.9280096326276166e-03,3.4005255886030768e-02,2.1394542681250819e+00
2.2379310344827585e+00,-1.4993168995198909e+00,7.2356369855967062e-01,1.8210392701448799e+00,2.3015000173103608e+01,8.0178685709268900e-04,4.2233833136890945e-03,4.6604165878301906e-02,3.0393914696297522e+00
2.2517241379310344e+00,-1.4666857688271606e+00,6.8114734336419758e-01,1.9299676694472976e+00,2.4784698800439418e+01,6.9548531200185352e-04,4.1493386741165410e-03,2.9517031697802436e-02,2.5529166258055396e+00
2.2655172413793103e+00,-1.4460231776748977e+00,6.6124244317558345e-01,2.0432477844683263e+00,2.1880675433446836e+01,6.6668546346335643e-04,3.4017354234029519e-03,1.8425353491121729e-02,1.7642869243907924e+00
2.2793103448275862e+00,-1.3990399417009600e+00,5.0413693725994502e-01,2.6821842766610855e+00,6.8590407057235510e+01,6.5434371203219183e-04,3.7786415942742948e-03,2.2175101436158209e-02,1.2225884528316411e+00
2.2931034482758621e+00,-1.3745716382716051e+00,4.6774970560699591e-01,1.9524009088906973e+00,5.3550316863898516e+01,1.0054802330929922e-03,5.6916358637930844e-03,1.7080418011428750e-02,1.6362637370635227e+00
2.3068965517241380e+00,-1.3482813141975312e+00,4.1021350989368999e-01,2.0623213320535156e+00,6.1630731378943402e+01,8.9282331588073894e-04,5.1520287162119833e-03,2.9827097166777332e-02,1.3513654022862294e+00
2.3206896551724139e+00,-1.3213605203017835e+00,3.5408385219478733e-01,1.9463484634112753e+00,5.3103170619405780e+01,9.1164917271247588e-04,5.1695008244249455e-03,3.4523728052552070e-02,9.9995704643669003e-01
2.3344827586206898e+00,-1.2984069812071335e+00,3.0726142321673522e-01,1.6642520181231049e+00,4.8952256865229756e+01,6.9390777317977954e-04,5.0216344705523875e-03,2.9263890679194399e-02,8.5819274577784888e-01
2.3482758620689657e+00,-1.2753429288751716e+00,2.6544020018861458e-01,1.4515575401530532e+00,4.1448625308264447e+01,6.7965565616186533e-04,4.6190522833415588e-03,2.1920490541471889e-02,7.4048504393137060e-01
2.3620689655172415e+00,-1.2559485677640603e+00,2.2452555137174215e-01,1.3404978097183176e+00,3.4207436426393649e+01,5.5695097748235402e-04,3.6394174391628708e-03,2.2623416011151577e-02,7.9388175514913795e-01
2.3758620689655174e+00,-1.2367687990054872e+00,2.0987243825445812e-01,1.2239921961181492e+00,2.8933840314679479e+01,5.1450829729710848e-04,3.2032500916611148e-03,1.8348305420945950e-02,6.6736290578550539e-01
2.3896551724137929e+00,-1.2200538058641976e+00,1.8316114593621399e-01,1.1800233935272340e+00,2.4551580527951455e+01,4.2100922041881278e-04,2.4673595252823460e-03,1.7597187957128640e-02,5.3757860439151395e-01
2.4034482758620692e+00,-1.2037787994855969e+00,1.6672558852880656e-01,1.1099193181611853e+00,2.0770733909185719e+01,4.1925589211973941e-04,2.1095792476144531e-03,1.2138565847618511e-02,3.8369234575719352e-01
2.4172413793103447e+00,-1.1878840346021948e+00,1.4942718475651579e-01,1.0572316530932542e+00,1.6710689869097763e+01,3.6298429979974379e-04,1.8932314149889614e-03,1.4333525142286797e-02,3.5759020788327189e-01
2.4310344827586206e+00,-1.1740045090534981e+00,1.3964621165980795e-01,1.0445679925639986e+00,1.4987152212368700e+01,3.2728960240618410e-04,1.4168683117129297e-03,1.2142321409193441e-02,2.8262899379580297e-01
2.4448275862068964e+00,-1.1600106748971191e+00,1.3278382582304529e-01,9.9195107165814567e-01,1.3453022402584388e+01,3.3447235429143239e-04,1.5401868973951840e-03,1.2829861841164362e-02,2.6769659421085390e-01
2.4586206896551723e+00,-1.1470905454389577e+00,1.2479015286351167e-01,9.7210961719540123e-01,1.2071422600411177e+01,3.2262322236377585e-04,1.1096572188787567e-03,1.2487862524023270e-02,2.1326661211244019e-01
2.4724137931034482e+00,-1.1331903206447185e+00,1.1789620018861456e-01,9.1660460621622486e-01,1.0814101296243708e+01,3.2165045750628442e-04,1.1037871301514438e-03,1.1620382324852878e-02,2.0681529668596701e-01
2.4862068965517241e+00,-1.1199951170438960e+00,1.1125680048010973e-01,9.2110334499731550e-01,9.6960073145191004e+00,3.1458295459494925e-04,9.5515783078720053e-04,1.0407273524192894e-02,1.7692660107760799e-01
2.5000000000000000e+00,-1.1081932644375856e+00,1.0585230063443073e-01,8.4011819853111691e-01,9.1567942974623424e+00,3.3106915356096399e-04,8.9369515829951110e-04,1.0253294674792461e-02,1.6330268077972129e-01
