e_avg,prob
-1.2600000000000000e+00,6.9999999999999999e-06
-1.2500000000000000e+00,3.0000000000000001e-06
-1.2400000000000000e+00,2.7499999999999999e-06
-1.2300000000000000e+00,9.5000000000000005e-06
-1.2200000000000000e+00,1.9250000000000000e-05
-1.2100000000000000e+00,1.4000000000000000e-05
-1.2000000000000000e+00,1.8749999999999998e-05
-1.1899999999999999e+00,2.4749999999999999e-05
-1.1799999999999999e+00,9.5000000000000005e-06
-1.1699999999999999e+00,1.7499999999999998e-05
-1.1599999999999999e+00,1.6500000000000001e-05
-1.1499999999999999e+00,2.4999999999999999e-07
-1.1399999999999999e+00,6.2500000000000003e-06
-1.1299999999999999e+00,1.4000000000000000e-05
-1.1200000000000001e+00,1.4250000000000001e-05
-1.1100000000000001e+00,0.0000000000000000e+00
-1.1000000000000001e+00,7.5000000000000002e-07
-1.0900000000000001e+00,4.9999999999999998e-07
-1.0800000000000001e+00,2.5000000000000002e-06
-1.0700000000000001e+00,6.0000000000000002e-06
-1.0600000000000001e+00,7.5000000000000002e-07
-1.0500000000000000e+00,1.3499999999999999e-05
-1.0400000000000000e+00,3.9999999999999998e-06
-1.0300000000000000e+00,2.7499999999999999e-06
-1.0200000000000000e+00,0.0000000000000000e+00
-1.0100000000000000e+00,3.9999999999999998e-06
-1.0000000000000000e+00,1.5000000000000000e-06
-9.8999999999999999e-01,7.2500000000000000e-06
-9.7999999999999998e-01,1.5000000000000000e-06
-9.6999999999999997e-01,0.0000000000000000e+00
-9.5999999999999996e-01,1.9999999999999999e-06
-9.4999999999999996e-01,0.0000000000000000e+00
-9.3999999999999995e-01,2.5000000000000002e-06
-9.3000000000000005e-01,2.4999999999999999e-07
-9.2000000000000004e-01,3.7500000000000001e-06
-9.1000000000000003e-01,1.5000000000000000e-06
-9.0000000000000002e-01,1.7500000000000000e-06
-8.9000000000000001e-01,1.9999999999999999e-06
-8.8000000000000000e-01,2.7499999999999999e-06
-8.7000000000000000e-01,2.4999999999999999e-07
-8.5999999999999999e-01,2.2500000000000001e-06
-8.4999999999999998e-01,0.0000000000000000e+00
-8.3999999999999997e-01,3.9999999999999998e-06
