e_avg,prob
-2.0000000000000000e+00,0.0000000000000000e+00
-1.9900000000000000e+00,0.0000000000000000e+00
-1.9800000000000000e+00,0.0000000000000000e+00
-1.9700000000000000e+00,0.0000000000000000e+00
-1.9600000000000000e+00,0.0000000000000000e+00
-1.9500000000000000e+00,0.0000000000000000e+00
-1.9399999999999999e+00,0.0000000000000000e+00
-1.9299999999999999e+00,0.0000000000000000e+00
-1.9199999999999999e+00,0.0000000000000000e+00
-1.9099999999999999e+00,0.0000000000000000e+00
-1.8999999999999999e+00,0.0000000000000000e+00
-1.8899999999999999e+00,0.0000000000000000e+00
-1.8799999999999999e+00,0.0000000000000000e+00
-1.8700000000000001e+00,0.0000000000000000e+00
-1.8600000000000001e+00,0.0000000000000000e+00
-1.8500000000000001e+00,0.0000000000000000e+00
-1.8400000000000001e+00,0.0000000000000000e+00
-1.8300000000000001e+00,0.0000000000000000e+00
-1.8200000000000001e+00,0.0000000000000000e+00
-1.8100000000000001e+00,0.0000000000000000e+00
-1.8000000000000000e+00,0.0000000000000000e+00
-1.7900000000000000e+00,0.0000000000000000e+00
-1.7800000000000000e+00,1.6750000000000001e-05
-1.7700000000000000e+00,2.4250000000000000e-05
-1.7600000000000000e+00,2.0999999999999999e-05
-1.7500000000000000e+00,5.7500000000000002e-05
-1.7400000000000000e+00,6.7500000000000001e-05
-1.7300000000000000e+00,7.6249999999999997e-05
-1.7200000000000000e+00,1.2750000000000001e-04
-1.7100000000000000e+00,1.0399999999999999e-04
-1.7000000000000000e+00,1.2700000000000000e-04
-1.6899999999999999e+00,2.0450000000000001e-04
-1.6799999999999999e+00,2.2325000000000001e-04
-1.6699999999999999e+00,3.2374999999999998e-04
-1.6599999999999999e+00,4.5825000000000000e-04
-1.6499999999999999e+00,5.5400000000000002e-04
-1.6399999999999999e+00,7.4250000000000000e-04
-1.6299999999999999e+00,8.5225000000000003e-04
-1.6200000000000001e+00,8.1024999999999999e-04
-1.6100000000000001e+00,1.0629999999999999e-03
-1.6000000000000001e+00,1.3272500000000001e-03
-1.5900000000000001e+00,1.5057499999999999e-03
-1.5800000000000001e+00,1.6670000000000001e-03
-1.5700000000000001e+00,1.8727500000000001e-03
-1.5600000000000001e+00,2.3149999999999998e-03
-1.5500000000000000e+00,2.6632499999999998e-03
-1.5400000000000000e+00,2.8934999999999998e-03
-1.5300000000000000e+00,3.5239999999999998e-03
-1.5200000000000000e+00,3.8005000000000001e-03
-1.5100000000000000e+00,4.4667500000000002e-03
-1.5000000000000000e+00,4.9387500000000004e-03
