L = 80 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6482129817382816e+00,7.8923530274522558e-01,1.6835918224957351e+00,8.7347836465866763e+01,1.5434191708011923e-03,1.1387934638195677e-02,9.7807053870420005e-02,1.2647963999036008e+01
2.1137931034482760e+00,-1.6349281636718749e+00,7.6840314358181450e-01,1.6550251934390150e+00,7.5862998220594022e+01,2.0712492092003773e-03,1.6119258408490274e-02,7.9104941744211024e-02,1.0895872325491371e+01
2.1275862068965519e+00,-1.6269330498155381e+00,8.0262043000759564e-01,1.4532454541073319e+00,5.6855812720212782e+01,1.2602075346534280e-03,8.8481705537015749e-03,7.0636153874455043e-02,9.3319096341744832e+00
2.1413793103448278e+00,-1.6076500756835941e+00,7.7455850734049536e-01,1.4830253051435889e+00,5.6175545800670079e+01,1.7276255600227296e-03,1.3195755192980937e-02,6.8434813282230125e-02,8.8185656904965306e+00
2.1551724137931036e+00,-1.5937823671875002e+00,7.7117013512912314e-01,1.6916082311474490e+00,6.4250591214204249e+01,1.4080242184189293e-03,9.9691762377469989e-03,7.7266196350926492e-02,9.5156943497626632e+00
2.1689655172413795e+00,-1.5747709165907116e+00,7.6145277389322896e-01,1.6420182225952717e+00,5.0306199661684950e+01,1.3522506250773618e-03,1.0049016837853881e-02,5.6773290953521481e-02,7.1806024965902777e+00
2.1827586206896554e+00,-1.5613189163736978e+00,7.5487600738389715e-01,1.6433298365538840e+00,4.9525257153670140e+01,1.2947114907740911e-03,9.3989434212066823e-03,5.9156605985505081e-02,7.7160383651127757e+00
2.1965517241379313e+00,-1.5409654617621515e+00,7.2299454851345490e-01,1.6249766864969775e+00,6.3269998398231074e+01,1.4897790402769379e-03,1.1150830217305844e-02,6.0747182278344782e-02,8.6187801866170872e+00
2.2103448275862068e+00,-1.5257345457682294e+00,7.2685815598415804e-01,1.6370961163579045e+00,5.1029949028825712e+01,1.3871885944582540e-03,9.4676066264958621e-03,5.5467127160984855e-02,8.0814345767050089e+00
2.2241379310344827e+00,-1.5036552546332465e+00,7.0441847698567672e-01,2.0312644684971009e+00,5.3369494162384242e+01,1.0546273365091658e-03,6.6192989516746428e-03,5.0885247170613920e-02,6.3488430549275296e+00
2.2379310344827585e+00,-1.4825551099934899e+00,6.8235725927191826e-01,1.9790716300585325e+00,5.5687913634160033e+01,1.1915691554415045e-03,7.8610449684081742e-03,5.1764668171676950e-02,6.7789465991942190e+00
2.2517241379310344e+00,-1.4593304040256079e+00,6.5074260161132824e-01,1.7277502981717947e+00,5.0187760262871628e+01,9.8969379304772605e-04,6.4351809489589639e-03,4.3106361624471304e-02,5.3087793633402622e+00
