e_rnd,avg_e_rnd,m_rnd,avg_m_rnd,e_low,avg_e_low,m_low,avg_m_low,e_hig,avg_e_hig,m_hig,avg_m_hig
-1.7481000000000000e+00,-1.4802881578947369e+00,6.7388749999999997e-01,4.7693749999999990e-01,-2.0000000000000000e+00,-1.9956921052631582e+00,1.0000000000000000e+00,9.9892302631578944e-01,-1.6984000000000001e+00,-1.4295236842105261e+00,9.5537500000000011e-02,9.6173684210526300e-02
-1.7350500000000000e+00,-1.4930262500000002e+00,6.9584999999999997e-01,4.8788312499999992e-01,-2.0000000000000000e+00,-1.9959075000000002e+00,1.0000000000000000e+00,9.9897687499999999e-01,-1.7121000000000002e+00,-1.4436524999999998e+00,9.3124999999999999e-02,9.6021249999999975e-02
-1.7277750000000001e+00,-1.5042047619047620e+00,7.2708750000000000e-01,4.9927380952380945e-01,-2.0000000000000000e+00,-1.9961023809523812e+00,1.0000000000000000e+00,9.9902559523809520e-01,-1.7172000000000001e+00,-1.4566785714285713e+00,1.0220000000000001e-01,9.6315476190476160e-02
-1.7382749999999998e+00,-1.5148443181818185e+00,7.3974999999999991e-01,5.1020454545454541e-01,-2.0000000000000000e+00,-1.9962795454545457e+00,1.0000000000000000e+00,9.9906988636363636e-01,-1.6986500000000000e+00,-1.4676772727272727e+00,9.1837500000000002e-02,9.6111931818181784e-02
-1.7376250000000000e+00,-1.5245304347826090e+00,7.2711250000000005e-01,5.1963532608695651e-01,-1.9922000000000000e+00,-1.9961021739130436e+00,9.9805000000000010e-01,9.9902554347826078e-01,-1.6791999999999998e+00,-1.4768739130434783e+00,9.7725000000000006e-02,9.6182065217391269e-02
-1.7591999999999999e+00,-1.5343083333333336e+00,7.6786250000000000e-01,5.2997812499999997e-01,-2.0000000000000000e+00,-1.9962645833333335e+00,1.0000000000000000e+00,9.9906614583333331e-01,-1.7034750000000001e+00,-1.4863156249999998e+00,9.6762500000000001e-02,9.6206249999999979e-02
-1.7884500000000001e+00,-1.5444740000000001e+00,7.8966250000000004e-01,5.4036549999999994e-01,-2.0000000000000000e+00,-1.9964140000000001e+00,1.0000000000000000e+00,9.9910349999999992e-01,-1.7251750000000001e+00,-1.4958699999999998e+00,1.0355000000000000e-01,9.6499999999999975e-02
-1.8138999999999998e+00,-1.5548365384615386e+00,8.1440000000000001e-01,5.5090528846153830e-01,-2.0000000000000000e+00,-1.9965519230769231e+00,1.0000000000000000e+00,9.9913798076923066e-01,-1.7397999999999998e+00,-1.5052519230769230e+00,8.9337500000000000e-02,9.6224519230769204e-02
-1.8119749999999999e+00,-1.5643601851851852e+00,8.0318749999999994e-01,5.6024907407407387e-01,-2.0000000000000000e+00,-1.9966796296296296e+00,1.0000000000000000e+00,9.9916990740740730e-01,-1.7413749999999999e+00,-1.5139972222222222e+00,6.8400000000000002e-02,9.5193981481481449e-02
-1.8055000000000001e+00,-1.5729723214285714e+00,7.9146249999999996e-01,5.6850669642857121e-01,-2.0000000000000000e+00,-1.9967982142857144e+00,1.0000000000000000e+00,9.9919955357142853e-01,-1.7496499999999999e+00,-1.5224133928571428e+00,7.3399999999999993e-02,9.4415624999999975e-02
