L = 30 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6624226611796991e+00,8.6783072702331965e-01,7.9621721448425609e-01,8.9947048177106137e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1137931034482760e+00,-1.6499406310013713e+00,8.6114669410150868e-01,8.1533224493604717e-01,8.5039279061358286e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1275862068965519e+00,-1.6349472000000003e+00,8.5048274705075533e-01,9.0233976103112623e-01,1.4641086971084041e+00,1.0388367626886101e-04,2.8331604938271616e-04,3.9305588786689273e-03,6.4181215514171455e-02
2.1413793103448278e+00,-1.6214138820301784e+00,8.4230647462277120e-01,9.1934046563792282e-01,1.3050786146993816e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1551724137931036e+00,-1.6066594787379957e+00,8.3383717421124781e-01,9.4930922041321741e-01,1.4995141116992756e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1689655172413795e+00,-1.5883223363511649e+00,8.2148517750343009e-01,9.7095234228687621e-01,1.4646932187616535e+00,1.1173772290809405e-04,2.8568669410150864e-04,4.0596036847161321e-03,6.2401576300873465e-02
2.1827586206896554e+00,-1.5784643775034284e+00,8.1465226666666668e-01,1.0348515860685770e+00,1.6990027421501532e+00,6.5997256515792957e-06,1.6903155006859891e-05,9.7855658785703673e-05,9.9120371660695733e-04
2.1965517241379313e+00,-1.5530218128943774e+00,7.8564586145404658e-01,1.2485408394872692e+00,3.8815542967765926e+00,8.8365432098767030e-05,1.9408367626886375e-04,3.0378599110833116e-03,3.9337739973840470e-02
2.2103448275862068e+00,-1.5387087089163225e+00,7.8438322716049469e-01,1.0703240060365877e+00,2.0629569338135525e+00,5.5539094650214310e-06,1.1073525377229830e-05,2.4774427949687084e-04,1.3122607569199566e-03
2.2241379310344827e+00,-1.5159887517146773e+00,7.5560233196159066e-01,1.1937381649935350e+00,5.4240352954251447e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2379310344827585e+00,-1.4985052652949242e+00,7.4327013854595270e-01,1.3156664046847484e+00,5.3798502655362270e+00,5.5283401920438438e-05,9.6034293552812574e-05,1.1487657573839782e-03,7.8735635768844119e-03
2.2517241379310344e+00,-1.4769479813443076e+00,7.1271167764060328e-01,1.5919513958606222e+00,9.4923386544394823e+00,3.8144872830675452e-05,7.5853211326870859e-05,5.2893376446392346e-04,1.0498757660077827e-02
2.2655172413793103e+00,-1.4374115862825796e+00,6.5653727517146787e-01,1.9092929000692829e+00,1.4138386623819146e+01,1.0845745805486656e-04,2.2307999779710313e-04,1.9774909636738635e-03,1.6365752614824414e-02
2.2793103448275862e+00,-1.4250382770919061e+00,6.1210999176954684e-01,1.8011023019572889e+00,1.9845869082843482e+01,7.6475716125011750e-05,1.7514765482866157e-04,1.0249126356756256e-03,1.1556502487367525e-02
2.2931034482758621e+00,-1.4000144087791504e+00,6.1375617174211261e-01,1.6772580475653061e+00,1.1305283000703517e+01,3.1158636326486300e-04,1.0511911059907304e-03,2.8749673513633030e-03,9.5353731825218488e-02
2.3068965517241380e+00,-1.3817610013717410e+00,6.0318041426611790e-01,1.9884321136614176e+00,1.2064139266429956e+01,2.6025781673148741e-04,7.9970454942419433e-04,3.5285318163222829e-03,7.5494815583643404e-02
2.3206896551724139e+00,-1.3185089163237307e+00,4.3906582002743433e-01,1.5667895594167605e+00,2.1312258813382787e+01,4.1688259621780422e-04,1.4135201824526697e-03,9.4650884609277074e-03,4.5118767492609575e-02
2.3344827586206898e+00,-1.3142948674897115e+00,4.7641285102880659e-01,1.7106131770490349e+00,1.6539689528390458e+01,3.4119818362404693e-04,9.5246280586317269e-04,7.5839915883770146e-03,1.0105410848201413e-01
2.3482758620689657e+00,-1.2904971632373106e+00,4.0443050973936906e-01,1.9671889023714342e+00,2.0983342835636694e+01,4.1641725780332337e-04,1.5059250519552736e-03,8.2544597110329986e-03,8.4107832411009290e-02
2.3620689655172415e+00,-1.2779439862825788e+00,4.2618850205761327e-01,1.7965870090455258e+00,1.9106416481621608e+01,6.6104533545325423e-04,1.8388024355862522e-03,1.0545256128454117e-02,1.4254399858804109e-01
2.3758620689655174e+00,-1.2532522063100138e+00,4.0517738463648834e-01,1.5175241272287932e+00,1.6270000346268727e+01,6.4824920076735570e-04,1.9698450824544469e-03,1.1013324012961257e-02,1.3050458752707433e-01
