L = 40 MC cycles = 1000000 Repetitions = 1
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6596112565690677e+00,8.6824960585585675e-01,4.4964279441704278e+00,2.1713997288535758e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1137931034482760e+00,-1.6461171061686672e+00,8.6033658658658818e-01,4.7097412873187565e+00,2.6588737182540352e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1275862068965519e+00,-1.6327700794544528e+00,8.5146608405280289e-01,4.9096838418935658e+00,4.0168808056160925e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1413793103448278e+00,-1.6170930227102105e+00,8.4031726804929963e-01,5.2810189689049727e+00,4.7518735755173838e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1551724137931036e+00,-1.6024769222347353e+00,8.3192536051676713e-01,5.4199824374041059e+00,4.0077142541711508e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1689655172413795e+00,-1.5863423470345350e+00,8.1953784956831766e-01,5.7723100163991328e+00,5.1114109151254530e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1827586206896554e+00,-1.5683251861236218e+00,8.0513773304554515e-01,6.0512126169423572e+00,7.1625749088861630e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1965517241379313e+00,-1.5498458474099097e+00,7.8990004692192139e-01,6.3819140124495606e+00,8.3532133412125411e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2103448275862068e+00,-1.5293308887012023e+00,7.6699208270770813e-01,7.7111022889881866e+00,1.5168362069375727e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2241379310344827e+00,-1.5085641094219218e+00,7.4699969657157084e-01,8.1664829872845441e+00,1.7844916156008257e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2379310344827585e+00,-1.4865306619119145e+00,7.2128714886761847e-01,8.0792734281730372e+00,2.4581507675257164e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2517241379310344e+00,-1.4598805227102107e+00,6.8529547829079074e-01,9.7616098116833019e+00,3.5618703701519557e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2655172413793103e+00,-1.4326279983108099e+00,6.4222382069569606e-01,1.0145728422177489e+01,4.5267620624525733e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2793103448275862e+00,-1.4060111189314319e+00,5.9400495182682611e-01,1.0496396297432948e+01,5.8556487037219703e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2931034482758621e+00,-1.3825502314814804e+00,5.6148492867867794e-01,1.0176994999416056e+01,6.2395211843776707e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3068965517241380e+00,-1.3567550065690686e+00,5.1710409706581606e-01,1.0954187394831097e+01,6.9152463555161162e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3206896551724139e+00,-1.3277615365365378e+00,4.5801211367617589e-01,1.0775298015278532e+01,7.2399579404228575e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3344827586206898e+00,-1.3000965574949959e+00,4.0732887027652653e-01,9.1880406069109455e+00,6.7291727713270660e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3482758620689657e+00,-1.2802091325700704e+00,3.7775555868368449e-01,9.3352457311691257e+00,6.4428060678163533e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
